# ZDC_Sci
Gx0 	-962.4
Gy0 	0.
Gz0 	37000.
Grot_x 	0.
Grot_y 	-0.025
Grot_z 	0.
#Tower ID <-> Layer ID
iT_iL 0	37
iT_iL 1	52
#Tower 	iLayer 	iX 	iY 	x_cnt 	y_cnt 	z_cnt 	size_x 	size_y 	size_z
Tower 0	0	0	-250	-250	883.67	100	100	480.019
Tower 0	0	1	-250	-150	883.67	100	100	480.019
Tower 0	0	2	-250	-50	883.67	100	100	480.019
Tower 0	0	3	-250	50	883.67	100	100	480.019
Tower 0	0	4	-250	150	883.67	100	100	480.019
Tower 0	0	5	-250	250	883.67	100	100	480.019
Tower 0	1	0	-150	-250	883.67	100	100	480.019
Tower 0	1	1	-150	-150	883.67	100	100	480.019
Tower 0	1	2	-150	-50	883.67	100	100	480.019
Tower 0	1	3	-150	50	883.67	100	100	480.019
Tower 0	1	4	-150	150	883.67	100	100	480.019
Tower 0	1	5	-150	250	883.67	100	100	480.019
Tower 0	2	0	-50	-250	883.67	100	100	480.019
Tower 0	2	1	-50	-150	883.67	100	100	480.019
Tower 0	2	2	-50	-50	883.67	100	100	480.019
Tower 0	2	3	-50	50	883.67	100	100	480.019
Tower 0	2	4	-50	150	883.67	100	100	480.019
Tower 0	2	5	-50	250	883.67	100	100	480.019
Tower 0	3	0	50	-250	883.67	100	100	480.019
Tower 0	3	1	50	-150	883.67	100	100	480.019
Tower 0	3	2	50	-50	883.67	100	100	480.019
Tower 0	3	3	50	50	883.67	100	100	480.019
Tower 0	3	4	50	150	883.67	100	100	480.019
Tower 0	3	5	50	250	883.67	100	100	480.019
Tower 0	4	0	150	-250	883.67	100	100	480.019
Tower 0	4	1	150	-150	883.67	100	100	480.019
Tower 0	4	2	150	-50	883.67	100	100	480.019
Tower 0	4	3	150	50	883.67	100	100	480.019
Tower 0	4	4	150	150	883.67	100	100	480.019
Tower 0	4	5	150	250	883.67	100	100	480.019
Tower 0	5	0	250	-250	883.67	100	100	480.019
Tower 0	5	1	250	-150	883.67	100	100	480.019
Tower 0	5	2	250	-50	883.67	100	100	480.019
Tower 0	5	3	250	50	883.67	100	100	480.019
Tower 0	5	4	250	150	883.67	100	100	480.019
Tower 0	5	5	250	250	883.67	100	100	480.019
Tower 1	0	0	-250	-250	1383.69	100	100	480.019
Tower 1	0	1	-250	-150	1383.69	100	100	480.019
Tower 1	0	2	-250	-50	1383.69	100	100	480.019
Tower 1	0	3	-250	50	1383.69	100	100	480.019
Tower 1	0	4	-250	150	1383.69	100	100	480.019
Tower 1	0	5	-250	250	1383.69	100	100	480.019
Tower 1	1	0	-150	-250	1383.69	100	100	480.019
Tower 1	1	1	-150	-150	1383.69	100	100	480.019
Tower 1	1	2	-150	-50	1383.69	100	100	480.019
Tower 1	1	3	-150	50	1383.69	100	100	480.019
Tower 1	1	4	-150	150	1383.69	100	100	480.019
Tower 1	1	5	-150	250	1383.69	100	100	480.019
Tower 1	2	0	-50	-250	1383.69	100	100	480.019
Tower 1	2	1	-50	-150	1383.69	100	100	480.019
Tower 1	2	2	-50	-50	1383.69	100	100	480.019
Tower 1	2	3	-50	50	1383.69	100	100	480.019
Tower 1	2	4	-50	150	1383.69	100	100	480.019
Tower 1	2	5	-50	250	1383.69	100	100	480.019
Tower 1	3	0	50	-250	1383.69	100	100	480.019
Tower 1	3	1	50	-150	1383.69	100	100	480.019
Tower 1	3	2	50	-50	1383.69	100	100	480.019
Tower 1	3	3	50	50	1383.69	100	100	480.019
Tower 1	3	4	50	150	1383.69	100	100	480.019
Tower 1	3	5	50	250	1383.69	100	100	480.019
Tower 1	4	0	150	-250	1383.69	100	100	480.019
Tower 1	4	1	150	-150	1383.69	100	100	480.019
Tower 1	4	2	150	-50	1383.69	100	100	480.019
Tower 1	4	3	150	50	1383.69	100	100	480.019
Tower 1	4	4	150	150	1383.69	100	100	480.019
Tower 1	4	5	150	250	1383.69	100	100	480.019
Tower 1	5	0	250	-250	1383.69	100	100	480.019
Tower 1	5	1	250	-150	1383.69	100	100	480.019
Tower 1	5	2	250	-50	1383.69	100	100	480.019
Tower 1	5	3	250	50	1383.69	100	100	480.019
Tower 1	5	4	250	150	1383.69	100	100	480.019
Tower 1	5	5	250	250	1383.69	100	100	480.019
